Age,Financial Status,Has a Laptop,Type of Internet Connection,CC100,CC101,CC102,CS111/IT112,English Prof,Reading Compre,Science Process,Quantitative,Abstract,CET OAPR,SHS/HS GPA,ABM/BAM,GAS,HUMSS,STEM,Sports Track,TVL-HE,TVL-ICT,Female,Male,Prefer not to say,label
22,3,2,1,1.5,1.5,1.5,1.25,61.05,35.7,66.81,84.63,33.69,62.48,91.5,0,0,0,0,0,0,1,1,0,0,1
21,2,2,2,1.75,1.25,3.0,2.5,83.47,99.7,96.28,75.28,72.9,92.03,92.25,0,0,0,0,0,0,1,1,0,0,1
21,1,0,1,1.25,2.0,2.5,2.0,76.83,71.99,80.93,79.96,26.06,76.98,94.0,1,0,0,0,0,0,0,1,0,0,1
21,2,2,2,1.0,2.25,1.75,1.75,66.01,54.75,91.97,34.54,63.1,70.3,91.0,0,0,0,0,0,0,1,1,0,0,1
21,1,2,1,1.75,2.25,1.75,2.0,66.01,54.75,85.06,18.16,72.9,66.95,90.97,0,1,0,0,0,0,0,0,1,0,1
21,1,1,1,1.5,2.0,3.0,1.75,72.78,90.94,72.66,34.54,33.69,72.43,92.5,0,1,0,0,0,0,0,1,0,0,1
23,3,2,2,1.5,2.25,1.75,2.0,80.58,77.12,76.79,24.91,72.9,76.98,87.0,0,0,0,0,0,0,1,0,1,0,1
22,3,2,2,2.75,2.5,2.25,2.5,63.53,48.4,59.25,63.45,63.1,63.9,86.0,0,0,0,0,0,0,1,0,1,0,1
22,1,2,2,2.75,1.25,3.0,1.25,90.77,98.7,80.93,95.71,87.72,95.1,86.35,0,0,0,1,0,0,0,0,1,0,1
25,1,0,1,1.25,2.25,1.75,2.0,78.85,42.05,51.68,53.82,63.1,68.07,80.0,0,0,0,0,0,0,1,0,1,0,1
21,0,2,2,1.5,1.75,2.5,1.5,88.66,77.12,76.79,75.28,79.78,86.95,86.373,0,0,1,0,0,0,0,0,1,0,1
21,1,0,1,1.5,2.25,2.25,1.75,63.53,77.12,80.93,10.45,63.1,65.83,89.0,0,0,0,0,0,1,0,1,0,0,1
23,2,0,1,1.5,2.75,2.25,2.5,61.05,48.4,76.79,75.28,91.68,73.34,87.0,0,0,0,0,0,0,1,1,0,0,1
20,1,2,1,1.5,2.0,1.75,2.0,80.58,71.99,91.97,44.18,53.29,79.72,91.0,0,0,0,0,0,0,1,0,0,1,1
21,2,2,1,3.0,1.75,3.0,5.0,83.47,87.4,97.72,44.18,79.78,88.22,88.5,0,0,0,0,0,0,1,0,1,0,1
21,3,2,2,1.5,2.25,2.0,2.0,72.78,71.99,36.55,84.63,43.49,71.42,94.5,0,0,0,1,0,0,0,1,0,0,1
21,2,0,0,2.0,2.75,2.25,2.0,78.85,61.11,44.12,63.45,79.78,73.34,84.5,0,0,0,0,0,0,1,0,1,0,1
21,1,2,1,1.5,2.5,3.0,2.0,58.56,82.26,85.06,53.82,43.49,70.3,89.465,0,1,0,0,0,0,0,1,0,0,1
21,1,2,1,1.25,1.75,2.75,1.75,63.53,82.26,44.12,79.96,79.78,73.34,90.5,0,0,0,0,0,0,1,0,1,0,1
22,1,2,2,1.0,2.5,1.75,2.0,76.83,71.99,29.96,75.28,43.49,70.3,88.0,0,0,0,0,0,0,1,0,1,0,1
20,1,2,2,1.0,1.25,1.5,1.75,96.95,90.94,93.41,70.61,97.87,96.17,92.0,0,0,0,0,0,0,1,0,1,0,1
22,2,0,1,1.5,2.0,1.25,1.5,83.47,92.88,85.06,53.82,83.75,86.95,89.5,0,0,0,1,0,0,0,0,1,0,1
22,2,0,1,1.5,2.75,2.5,2.25,52.9,48.4,80.93,84.63,83.75,71.42,83.475,0,0,0,1,0,0,0,0,1,0,1
21,2,2,2,1.5,2.5,1.5,2.25,78.85,82.26,29.96,44.18,63.1,71.42,90.5,0,0,0,0,0,0,1,1,0,0,1
22,3,0,1,3.0,1.75,1.75,1.75,70.75,82.26,36.55,53.82,20.6,63.6,89.5,0,0,0,0,0,0,1,1,0,0,1
21,2,0,0,1.0,1.75,1.5,2.5,93.41,98.7,97.72,94.54,97.87,97.64,89.5,0,0,0,0,0,0,1,0,1,0,1
22,2,2,2,1.5,2.5,1.75,2.25,61.05,66.85,72.66,79.96,43.49,69.19,85.5,0,0,0,0,0,0,1,1,0,0,1
21,0,1,1,1.5,2.25,2.5,2.0,74.8,71.99,51.68,53.82,87.72,75.16,87.0,0,0,0,0,0,0,1,0,1,0,1
22,0,1,0,2.25,5.0,1.25,2.25,31.88,87.4,66.81,63.45,72.9,61.37,89.5,0,0,1,0,0,0,0,0,1,0,1
22,0,2,2,2.0,5.0,2.0,2.25,58.56,66.85,59.25,53.82,43.49,61.37,87.855,0,0,1,0,0,0,0,1,0,0,1
20,2,2,1,1.5,2.0,1.75,1.5,74.8,87.4,85.06,34.54,53.29,76.98,92.0,0,0,0,1,0,0,0,1,0,0,1
20,2,2,1,1.0,1.5,2.0,1.5,78.85,92.88,44.12,70.61,79.78,80.63,94.0,0,0,1,0,0,0,0,1,0,0,1
21,2,2,2,1.5,2.75,1.75,1.5,66.01,92.88,3.34,84.63,53.29,66.95,79.935,0,0,0,1,0,0,0,0,1,0,1
20,2,2,2,2.0,1.75,1.75,1.5,72.788,87.4,72.66,53.82,83.75,78.81,88.0,1,0,0,0,0,0,0,1,0,0,1
21,3,2,2,1.5,3.0,2.0,1.75,80.58,87.4,89.19,44.18,79.78,83.5,89.5,0,0,0,0,0,0,1,0,1,0,1
21,0,2,1,1.5,2.75,1.5,1.5,70.75,66.85,51.68,44.18,43.49,64.72,92.5,0,0,0,1,0,0,0,0,1,0,1
20,1,0,1,1.75,1.75,1.25,2.0,95.51,96.76,76.79,63.45,79.78,92.9,92.5,0,0,0,0,0,0,1,1,0,0,1
20,0,0,1,1.0,1.75,2.5,1.75,76.83,96.76,80.93,44.18,43.49,80.63,93.5,0,0,1,0,0,0,0,0,1,0,1
21,2,2,2,1.0,1.75,1.75,1.75,91.83,99.7,94.84,44.18,87.72,93.85,90.88,0,0,0,0,0,1,0,0,1,0,1
22,0,2,2,1.0,1.75,2.75,2.0,86.35,71.99,44.12,84.63,79.78,82.81,91.0,0,0,0,1,0,0,0,0,1,0,1
20,0,2,2,1.0,1.75,1.25,1.25,88.66,42.05,94.84,75.28,53.29,84.88,92.0,0,0,0,0,0,0,1,1,0,0,1
21,2,1,2,1.0,1.75,1.75,2.5,61.05,71.99,44.12,79.96,64.1,68.07,92.5,0,0,0,1,0,0,0,0,1,0,1
21,0,2,2,1.25,1.75,1.75,1.75,72.78,30.03,51.68,53.82,53.29,61.37,90.5,0,1,0,0,0,0,0,1,0,0,1
22,3,2,1,1.0,1.5,2.25,1.75,83.47,66.85,80.93,24.91,72.9,77.9,91.4,1,0,0,0,0,0,0,0,1,0,1
20,2,1,1,1.25,3.0,2.5,2.0,63.53,42.05,51.68,53.82,63.1,60.09,89.5,0,0,0,0,0,0,1,0,1,0,1
22,0,0,1,1.5,1.75,1.75,2.75,52.9,77.12,80.93,84.63,53.29,72.43,88.0,0,1,0,0,0,0,0,1,0,0,1
21,1,2,1,1.0,1.75,1.5,1.75,89.71,48.4,44.12,34.54,53.29,73.34,92.0,1,0,0,0,0,0,0,1,0,0,1
21,0,1,1,1.75,2.75,1.5,1.5,78.85,77.12,72.66,89.31,87.72,84.88,87.889,0,0,0,1,0,0,0,0,1,0,1
21,1,2,1,1.0,1.75,1.25,1.25,80.58,82.26,85.06,63.45,53.29,81.43,87.5,0,0,0,1,0,0,0,1,0,0,1
23,3,1,1,2.75,1.75,2.25,1.5,66.01,87.4,44.12,75.28,83.75,75.16,89.5,1,0,0,0,0,0,0,0,1,0,1
20,2,2,2,1.25,3.0,1.75,2.0,93.41,48.4,93.41,92.22,95.65,93.22,89.5,0,0,0,0,0,0,1,1,0,0,1
22,1,1,1,3.0,2.0,3.0,3.0,68.5,82.26,85.06,70.61,72.9,78.81,89.5,0,1,0,0,0,0,0,0,1,0,1
20,2,2,2,2.25,1.75,1.25,2.25,86.35,30.03,24.36,53.82,63.1,66.95,85.5,0,0,0,1,0,0,0,0,1,0,1
21,3,2,2,1.0,1.75,2.0,2.75,92.71,90.94,66.81,24.91,87.72,87.64,91.0,1,0,0,0,0,0,0,1,0,0,1
24,2,0,2,1.0,1.75,1.75,2.25,66.01,48.4,85.06,63.45,33.69,66.95,92.0,0,0,0,1,0,0,0,0,1,0,1
20,1,1,2,1.75,1.75,3.0,3.0,41.05,77.12,80.93,75.28,13.13,60.09,95.21,0,1,0,0,0,0,0,1,0,0,1
20,2,0,2,1.5,1.75,2.75,2.0,49.95,42.05,44.12,70.61,63.1,54.31,82.665,0,0,0,1,0,0,0,0,1,0,1
22,1,2,2,3.0,1.75,1.5,3.0,63.53,66.85,80.93,44.18,72.9,70.3,89.5,0,0,1,0,0,0,0,0,1,0,1
20,2,2,2,1.0,1.75,1.5,1.5,83.47,66.85,51.68,79.96,43.49,76.98,89.5,1,0,0,0,0,0,0,1,0,0,1
21,1,2,2,1.0,1.75,2.75,3.0,68.5,66.85,44.12,63.45,53.29,65.83,87.445,0,0,0,1,0,0,0,0,1,0,1
23,0,2,2,1.0,1.75,2.25,2.5,86.35,71.99,80.93,44.18,43.49,79.72,86.0,0,0,0,0,0,0,1,0,1,0,1
20,2,2,2,1.0,1.75,1.25,1.75,91.83,99.77,80.93,79.96,33.69,91.56,94.0,0,0,1,0,0,0,0,0,1,0,1
20,3,2,1,1.0,1.75,1.5,1.25,76.83,77.12,72.66,70.61,72.9,76.98,95.0,0,0,0,0,0,0,1,1,0,0,1
21,1,2,1,1.0,1.75,2.0,2.0,83.47,66.85,59.25,53.82,72.9,76.98,84.5,0,0,0,0,0,0,1,1,0,0,1
19,2,2,2,1.0,1.75,1.5,1.5,82.02,87.4,80.93,63.45,72.9,83.5,94.0,0,0,0,1,0,0,0,1,0,0,1
